nu,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19,u_20,u_21,u_22,u_23,u_24
0.015,0.01142391234,0.008077925883,6.99512884e-19,-0.008077925883,-0.01142391234,0.01950183822,0.01615585177,0.008077925883,1.268309051e-18,-0.003345986457,0.02284782468,0.01950183822,0.01142391234,0.003345986457,0,0.01950183822,0.01615585177,0.008077925883,1.268309051e-18,-0.003345986457,0.01142391234,0.008077925883,2.098538652e-18,-0.008077925883,-0.01142391234
0.016,0.0121855065,0.008616454275,7.461470763e-19,-0.008616454275,-0.0121855065,0.02080196077,0.01723290855,0.008616454275,1.352862988e-18,-0.00356905222,0.02437101299,0.02080196077,0.0121855065,0.00356905222,0,0.02080196077,0.01723290855,0.008616454275,1.352862988e-18,-0.00356905222,0.0121855065,0.008616454275,2.238441229e-18,-0.008616454275,-0.0121855065
0.017,0.01294710065,0.009154982667,7.927812685e-19,-0.009154982667,-0.01294710065,0.02210208332,0.01830996533,0.009154982667,1.437416925e-18,-0.003792117984,0.0258942013,0.02210208332,0.01294710065,0.003792117984,0,0.02210208332,0.01830996533,0.009154982667,1.437416925e-18,-0.003792117984,0.01294710065,0.009154982667,2.378343806e-18,-0.009154982667,-0.01294710065
0.018,0.01370869481,0.009693511059,8.394154608e-19,-0.009693511059,-0.01370869481,0.02340220587,0.01938702212,0.009693511059,1.521970861e-18,-0.004015183748,0.02741738961,0.02340220587,0.01370869481,0.004015183748,0,0.02340220587,0.01938702212,0.009693511059,1.521970861e-18,-0.004015183748,0.01370869481,0.009693511059,2.518246382e-18,-0.009693511059,-0.01370869481
0.019,0.01447028896,0.01023203945,8.860496531e-19,-0.01023203945,-0.01447028896,0.02470232841,0.0204640789,0.01023203945,1.606524798e-18,-0.004238249512,0.02894057793,0.02470232841,0.01447028896,0.004238249512,0,0.02470232841,0.0204640789,0.01023203945,1.606524798e-18,-0.004238249512,0.01447028896,0.01023203945,2.658148959e-18,-0.01023203945,-0.01447028896
0.02,0.01523188312,0.01077056784,9.326838453e-19,-0.01077056784,-0.01523188312,0.02600245096,0.02154113569,0.01077056784,1.691078735e-18,-0.004461315275,0.03046376624,0.02600245096,0.01523188312,0.004461315275,0,0.02600245096,0.02154113569,0.01077056784,1.691078735e-18,-0.004461315275,0.01523188312,0.01077056784,2.798051536e-18,-0.01077056784,-0.01523188312
0.021,0.01599347728,0.01130909624,9.793180376e-19,-0.01130909624,-0.01599347728,0.02730257351,0.02261819247,0.01130909624,1.775632671e-18,-0.004684381039,0.03198695455,0.02730257351,0.01599347728,0.004684381039,0,0.02730257351,0.02261819247,0.01130909624,1.775632671e-18,-0.004684381039,0.01599347728,0.01130909624,2.937954113e-18,-0.01130909624,-0.01599347728
0.022,0.01675507143,0.01184762463,1.02595223e-18,-0.01184762463,-0.01675507143,0.02860269606,0.02369524926,0.01184762463,1.860186608e-18,-0.004907446803,0.03351014286,0.02860269606,0.01675507143,0.004907446803,0,0.02860269606,0.02369524926,0.01184762463,1.860186608e-18,-0.004907446803,0.01675507143,0.01184762463,3.07785669e-18,-0.01184762463,-0.01675507143
0.023,0.01751666559,0.01238615302,1.072586422e-18,-0.01238615302,-0.01751666559,0.02990281861,0.02477230604,0.01238615302,1.944740545e-18,-0.005130512567,0.03503333117,0.02990281861,0.01751666559,0.005130512567,0,0.02990281861,0.02477230604,0.01238615302,1.944740545e-18,-0.005130512567,0.01751666559,0.01238615302,3.217759266e-18,-0.01238615302,-0.01751666559
0.024,0.01827825974,0.01292468141,1.119220614e-18,-0.01292468141,-0.01827825974,0.03120294116,0.02584936283,0.01292468141,2.029294482e-18,-0.00535357833,0.03655651949,0.03120294116,0.01827825974,0.00535357833,0,0.03120294116,0.02584936283,0.01292468141,2.029294482e-18,-0.00535357833,0.01827825974,0.01292468141,3.357661843e-18,-0.01292468141,-0.01827825974
0.025,0.0190398539,0.0134632098,1.165854807e-18,-0.0134632098,-0.0190398539,0.0325030637,0.02692641961,0.0134632098,2.113848418e-18,-0.005576644094,0.0380797078,0.0325030637,0.0190398539,0.005576644094,0,0.0325030637,0.02692641961,0.0134632098,2.113848418e-18,-0.005576644094,0.0190398539,0.0134632098,3.49756442e-18,-0.0134632098,-0.0190398539
0.026,0.01980144805,0.0140017382,1.212488999e-18,-0.0140017382,-0.01980144805,0.03380318625,0.02800347639,0.0140017382,2.198402355e-18,-0.005799709858,0.03960289611,0.03380318625,0.01980144805,0.005799709858,0,0.03380318625,0.02800347639,0.0140017382,2.198402355e-18,-0.005799709858,0.01980144805,0.0140017382,3.637466997e-18,-0.0140017382,-0.01980144805
0.027,0.02056304221,0.01454026659,1.259123191e-18,-0.01454026659,-0.02056304221,0.0351033088,0.02908053318,0.01454026659,2.282956292e-18,-0.006022775622,0.04112608442,0.0351033088,0.02056304221,0.006022775622,0,0.0351033088,0.02908053318,0.01454026659,2.282956292e-18,-0.006022775622,0.02056304221,0.01454026659,3.777369574e-18,-0.01454026659,-0.02056304221
0.028,0.02132463637,0.01507879498,1.305757383e-18,-0.01507879498,-0.02132463637,0.03640343135,0.03015758996,0.01507879498,2.367510229e-18,-0.006245841385,0.04264927273,0.03640343135,0.02132463637,0.006245841385,0,0.03640343135,0.03015758996,0.01507879498,2.367510229e-18,-0.006245841385,0.02132463637,0.01507879498,3.91727215e-18,-0.01507879498,-0.02132463637
0.029,0.02208623052,0.01561732337,1.352391576e-18,-0.01561732337,-0.02208623052,0.0377035539,0.03123464675,0.01561732337,2.452064165e-18,-0.006468907149,0.04417246105,0.0377035539,0.02208623052,0.006468907149,0,0.0377035539,0.03123464675,0.01561732337,2.452064165e-18,-0.006468907149,0.02208623052,0.01561732337,4.057174727e-18,-0.01561732337,-0.02208623052
0.03,0.02284782468,0.01615585177,1.399025768e-18,-0.01615585177,-0.02284782468,0.03900367644,0.03231170353,0.01615585177,2.536618102e-18,-0.006691972913,0.04569564936,0.03900367644,0.02284782468,0.006691972913,0,0.03900367644,0.03231170353,0.01615585177,2.536618102e-18,-0.006691972913,0.02284782468,0.01615585177,4.197077304e-18,-0.01615585177,-0.02284782468
0.031,0.02360941883,0.01669438016,1.44565996e-18,-0.01669438016,-0.02360941883,0.04030379899,0.03338876032,0.01669438016,2.621172039e-18,-0.006915038677,0.04721883767,0.04030379899,0.02360941883,0.006915038677,0,0.04030379899,0.03338876032,0.01669438016,2.621172039e-18,-0.006915038677,0.02360941883,0.01669438016,4.336979881e-18,-0.01669438016,-0.02360941883
0.032,0.02437101299,0.01723290855,1.492294153e-18,-0.01723290855,-0.02437101299,0.04160392154,0.0344658171,0.01723290855,2.705725976e-18,-0.007138104441,0.04874202598,0.04160392154,0.02437101299,0.007138104441,0,0.04160392154,0.0344658171,0.01723290855,2.705725976e-18,-0.007138104441,0.02437101299,0.01723290855,4.476882458e-18,-0.01723290855,-0.02437101299
0.033,0.02513260715,0.01777143694,1.538928345e-18,-0.01777143694,-0.02513260715,0.04290404409,0.03554287388,0.01777143694,2.790279912e-18,-0.007361170204,0.05026521429,0.04290404409,0.02513260715,0.007361170204,0,0.04290404409,0.03554287388,0.01777143694,2.790279912e-18,-0.007361170204,0.02513260715,0.01777143694,4.616785034e-18,-0.01777143694,-0.02513260715
0.034,0.0258942013,0.01830996533,1.585562537e-18,-0.01830996533,-0.0258942013,0.04420416664,0.03661993067,0.01830996533,2.874833849e-18,-0.007584235968,0.0517884026,0.04420416664,0.0258942013,0.007584235968,0,0.04420416664,0.03661993067,0.01830996533,2.874833849e-18,-0.007584235968,0.0258942013,0.01830996533,4.756687611e-18,-0.01830996533,-0.0258942013
0.035,0.02665579546,0.01884849373,1.632196729e-18,-0.01884849373,-0.02665579546,0.04550428919,0.03769698745,0.01884849373,2.959387786e-18,-0.007807301732,0.05331159092,0.04550428919,0.02665579546,0.007807301732,0,0.04550428919,0.03769698745,0.01884849373,2.959387786e-18,-0.007807301732,0.02665579546,0.01884849373,4.896590188e-18,-0.01884849373,-0.02665579546
0.036,0.02741738961,0.01938702212,1.678830922e-18,-0.01938702212,-0.02741738961,0.04680441173,0.03877404424,0.01938702212,3.043941723e-18,-0.008030367496,0.05483477923,0.04680441173,0.02741738961,0.008030367496,0,0.04680441173,0.03877404424,0.01938702212,3.043941723e-18,-0.008030367496,0.02741738961,0.01938702212,5.036492765e-18,-0.01938702212,-0.02741738961
0.037,0.02817898377,0.01992555051,1.725465114e-18,-0.01992555051,-0.02817898377,0.04810453428,0.03985110102,0.01992555051,3.128495659e-18,-0.008253433259,0.05635796754,0.04810453428,0.02817898377,0.008253433259,0,0.04810453428,0.03985110102,0.01992555051,3.128495659e-18,-0.008253433259,0.02817898377,0.01992555051,5.176395342e-18,-0.01992555051,-0.02817898377
0.038,0.02894057793,0.0204640789,1.772099306e-18,-0.0204640789,-0.02894057793,0.04940465683,0.04092815781,0.0204640789,3.213049596e-18,-0.008476499023,0.05788115585,0.04940465683,0.02894057793,0.008476499023,0,0.04940465683,0.04092815781,0.0204640789,3.213049596e-18,-0.008476499023,0.02894057793,0.0204640789,5.316297918e-18,-0.0204640789,-0.02894057793
0.039,0.02970217208,0.0210026073,1.818733498e-18,-0.0210026073,-0.02970217208,0.05070477938,0.04200521459,0.0210026073,3.297603533e-18,-0.008699564787,0.05940434416,0.05070477938,0.02970217208,0.008699564787,0,0.05070477938,0.04200521459,0.0210026073,3.297603533e-18,-0.008699564787,0.02970217208,0.0210026073,5.456200495e-18,-0.0210026073,-0.02970217208
0.04,0.03046376624,0.02154113569,1.865367691e-18,-0.02154113569,-0.03046376624,0.05200490193,0.04308227138,0.02154113569,3.382157469e-18,-0.008922630551,0.06092753248,0.05200490193,0.03046376624,0.008922630551,0,0.05200490193,0.04308227138,0.02154113569,3.382157469e-18,-0.008922630551,0.03046376624,0.02154113569,5.596103072e-18,-0.02154113569,-0.03046376624
0.041,0.03122536039,0.02207966408,1.912001883e-18,-0.02207966408,-0.03122536039,0.05330502447,0.04415932816,0.02207966408,3.466711406e-18,-0.009145696314,0.06245072079,0.05330502447,0.03122536039,0.009145696314,0,0.05330502447,0.04415932816,0.02207966408,3.466711406e-18,-0.009145696314,0.03122536039,0.02207966408,5.736005649e-18,-0.02207966408,-0.03122536039
0.042,0.03198695455,0.02261819247,1.958636075e-18,-0.02261819247,-0.03198695455,0.05460514702,0.04523638494,0.02261819247,3.551265343e-18,-0.009368762078,0.0639739091,0.05460514702,0.03198695455,0.009368762078,0,0.05460514702,0.04523638494,0.02261819247,3.551265343e-18,-0.009368762078,0.03198695455,0.02261819247,5.875908226e-18,-0.02261819247,-0.03198695455
0.043,0.03274854871,0.02315672086,2.005270267e-18,-0.02315672086,-0.03274854871,0.05590526957,0.04631344173,0.02315672086,3.63581928e-18,-0.009591827842,0.06549709741,0.05590526957,0.03274854871,0.009591827842,0,0.05590526957,0.04631344173,0.02315672086,3.63581928e-18,-0.009591827842,0.03274854871,0.02315672086,6.015810802e-18,-0.02315672086,-0.03274854871
0.044,0.03351014286,0.02369524926,2.05190446e-18,-0.02369524926,-0.03351014286,0.05720539212,0.04739049851,0.02369524926,3.720373216e-18,-0.009814893606,0.06702028572,0.05720539212,0.03351014286,0.009814893606,0,0.05720539212,0.04739049851,0.02369524926,3.720373216e-18,-0.009814893606,0.03351014286,0.02369524926,6.155713379e-18,-0.02369524926,-0.03351014286
0.045,0.03427173702,0.02423377765,2.098538652e-18,-0.02423377765,-0.03427173702,0.05850551467,0.0484675553,0.02423377765,3.804927153e-18,-0.01003795937,0.06854347404,0.05850551467,0.03427173702,0.01003795937,0,0.05850551467,0.0484675553,0.02423377765,3.804927153e-18,-0.01003795937,0.03427173702,0.02423377765,6.295615956e-18,-0.02423377765,-0.03427173702
0.046,0.03503333117,0.02477230604,2.145172844e-18,-0.02477230604,-0.03503333117,0.05980563721,0.04954461208,0.02477230604,3.88948109e-18,-0.01026102513,0.07006666235,0.05980563721,0.03503333117,0.01026102513,0,0.05980563721,0.04954461208,0.02477230604,3.88948109e-18,-0.01026102513,0.03503333117,0.02477230604,6.435518533e-18,-0.02477230604,-0.03503333117
0.047,0.03579492533,0.02531083443,2.191807037e-18,-0.02531083443,-0.03579492533,0.06110575976,0.05062166887,0.02531083443,3.974035027e-18,-0.0104840909,0.07158985066,0.06110575976,0.03579492533,0.0104840909,0,0.06110575976,0.05062166887,0.02531083443,3.974035027e-18,-0.0104840909,0.03579492533,0.02531083443,6.57542111e-18,-0.02531083443,-0.03579492533
0.048,0.03655651949,0.02584936283,2.238441229e-18,-0.02584936283,-0.03655651949,0.06240588231,0.05169872565,0.02584936283,4.058588963e-18,-0.01070715666,0.07311303897,0.06240588231,0.03655651949,0.01070715666,0,0.06240588231,0.05169872565,0.02584936283,4.058588963e-18,-0.01070715666,0.03655651949,0.02584936283,6.715323686e-18,-0.02584936283,-0.03655651949
0.049,0.03731811364,0.02638789122,2.285075421e-18,-0.02638789122,-0.03731811364,0.06370600486,0.05277578243,0.02638789122,4.1431429e-18,-0.01093022242,0.07463622728,0.06370600486,0.03731811364,0.01093022242,0,0.06370600486,0.05277578243,0.02638789122,4.1431429e-18,-0.01093022242,0.03731811364,0.02638789122,6.855226263e-18,-0.02638789122,-0.03731811364
0.05,0.0380797078,0.02692641961,2.331709613e-18,-0.02692641961,-0.0380797078,0.06500612741,0.05385283922,0.02692641961,4.227696837e-18,-0.01115328819,0.0761594156,0.06500612741,0.0380797078,0.01115328819,0,0.06500612741,0.05385283922,0.02692641961,4.227696837e-18,-0.01115328819,0.0380797078,0.02692641961,6.99512884e-18,-0.02692641961,-0.0380797078
0.051,0.03884130195,0.027464948,2.378343806e-18,-0.027464948,-0.03884130195,0.06630624996,0.054929896,0.027464948,4.312250774e-18,-0.01137635395,0.07768260391,0.06630624996,0.03884130195,0.01137635395,0,0.06630624996,0.054929896,0.027464948,4.312250774e-18,-0.01137635395,0.03884130195,0.027464948,7.135031417e-18,-0.027464948,-0.03884130195
0.052,0.03960289611,0.02800347639,2.424977998e-18,-0.02800347639,-0.03960289611,0.0676063725,0.05600695279,0.02800347639,4.39680471e-18,-0.01159941972,0.07920579222,0.0676063725,0.03960289611,0.01159941972,0,0.0676063725,0.05600695279,0.02800347639,4.39680471e-18,-0.01159941972,0.03960289611,0.02800347639,7.274933994e-18,-0.02800347639,-0.03960289611
0.053,0.04036449027,0.02854200479,2.47161219e-18,-0.02854200479,-0.04036449027,0.06890649505,0.05708400957,0.02854200479,4.481358647e-18,-0.01182248548,0.08072898053,0.06890649505,0.04036449027,0.01182248548,0,0.06890649505,0.05708400957,0.02854200479,4.481358647e-18,-0.01182248548,0.04036449027,0.02854200479,7.41483657e-18,-0.02854200479,-0.04036449027
0.054,0.04112608442,0.02908053318,2.518246382e-18,-0.02908053318,-0.04112608442,0.0702066176,0.05816106636,0.02908053318,4.565912584e-18,-0.01204555124,0.08225216884,0.0702066176,0.04112608442,0.01204555124,0,0.0702066176,0.05816106636,0.02908053318,4.565912584e-18,-0.01204555124,0.04112608442,0.02908053318,7.554739147e-18,-0.02908053318,-0.04112608442
0.055,0.04188767858,0.02961906157,2.564880575e-18,-0.02961906157,-0.04188767858,0.07150674015,0.05923812314,0.02961906157,4.65046652e-18,-0.01226861701,0.08377535716,0.07150674015,0.04188767858,0.01226861701,0,0.07150674015,0.05923812314,0.02961906157,4.65046652e-18,-0.01226861701,0.04188767858,0.02961906157,7.694641724e-18,-0.02961906157,-0.04188767858
0.056,0.04264927273,0.03015758996,2.611514767e-18,-0.03015758996,-0.04264927273,0.0728068627,0.06031517993,0.03015758996,4.735020457e-18,-0.01249168277,0.08529854547,0.0728068627,0.04264927273,0.01249168277,0,0.0728068627,0.06031517993,0.03015758996,4.735020457e-18,-0.01249168277,0.04264927273,0.03015758996,7.834544301e-18,-0.03015758996,-0.04264927273
0.057,0.04341086689,0.03069611835,2.658148959e-18,-0.03069611835,-0.04341086689,0.07410698524,0.06139223671,0.03069611835,4.819574394e-18,-0.01271474853,0.08682173378,0.07410698524,0.04341086689,0.01271474853,0,0.07410698524,0.06139223671,0.03069611835,4.819574394e-18,-0.01271474853,0.04341086689,0.03069611835,7.974446878e-18,-0.03069611835,-0.04341086689
0.058,0.04417246105,0.03123464675,2.704783151e-18,-0.03123464675,-0.04417246105,0.07540710779,0.06246929349,0.03123464675,4.904128331e-18,-0.0129378143,0.08834492209,0.07540710779,0.04417246105,0.0129378143,0,0.07540710779,0.06246929349,0.03123464675,4.904128331e-18,-0.0129378143,0.04417246105,0.03123464675,8.114349454e-18,-0.03123464675,-0.04417246105
0.059,0.0449340552,0.03177317514,2.751417344e-18,-0.03177317514,-0.0449340552,0.07670723034,0.06354635028,0.03177317514,4.988682267e-18,-0.01316088006,0.0898681104,0.07670723034,0.0449340552,0.01316088006,0,0.07670723034,0.06354635028,0.03177317514,4.988682267e-18,-0.01316088006,0.0449340552,0.03177317514,8.254252031e-18,-0.03177317514,-0.0449340552
0.06,0.04569564936,0.03231170353,2.798051536e-18,-0.03231170353,-0.04569564936,0.07800735289,0.06462340706,0.03231170353,5.073236204e-18,-0.01338394583,0.09139129871,0.07800735289,0.04569564936,0.01338394583,0,0.07800735289,0.06462340706,0.03231170353,5.073236204e-18,-0.01338394583,0.04569564936,0.03231170353,8.394154608e-18,-0.03231170353,-0.04569564936
0.061,0.04645724351,0.03285023192,2.844685728e-18,-0.03285023192,-0.04645724351,0.07930747544,0.06570046385,0.03285023192,5.157790141e-18,-0.01360701159,0.09291448703,0.07930747544,0.04645724351,0.01360701159,0,0.07930747544,0.06570046385,0.03285023192,5.157790141e-18,-0.01360701159,0.04645724351,0.03285023192,8.534057185e-18,-0.03285023192,-0.04645724351
0.062,0.04721883767,0.03338876032,2.891319921e-18,-0.03338876032,-0.04721883767,0.08060759798,0.06677752063,0.03338876032,5.242344078e-18,-0.01383007735,0.09443767534,0.08060759798,0.04721883767,0.01383007735,0,0.08060759798,0.06677752063,0.03338876032,5.242344078e-18,-0.01383007735,0.04721883767,0.03338876032,8.673959762e-18,-0.03338876032,-0.04721883767
0.063,0.04798043183,0.03392728871,2.937954113e-18,-0.03392728871,-0.04798043183,0.08190772053,0.06785457742,0.03392728871,5.326898014e-18,-0.01405314312,0.09596086365,0.08190772053,0.04798043183,0.01405314312,0,0.08190772053,0.06785457742,0.03392728871,5.326898014e-18,-0.01405314312,0.04798043183,0.03392728871,8.813862338e-18,-0.03392728871,-0.04798043183
0.064,0.04874202598,0.0344658171,2.984588305e-18,-0.0344658171,-0.04874202598,0.08320784308,0.0689316342,0.0344658171,5.411451951e-18,-0.01427620888,0.09748405196,0.08320784308,0.04874202598,0.01427620888,0,0.08320784308,0.0689316342,0.0344658171,5.411451951e-18,-0.01427620888,0.04874202598,0.0344658171,8.953764915e-18,-0.0344658171,-0.04874202598
0.065,0.04950362014,0.03500434549,3.031222497e-18,-0.03500434549,-0.04950362014,0.08450796563,0.07000869098,0.03500434549,5.496005888e-18,-0.01449927464,0.09900724027,0.08450796563,0.04950362014,0.01449927464,0,0.08450796563,0.07000869098,0.03500434549,5.496005888e-18,-0.01449927464,0.04950362014,0.03500434549,9.093667492e-18,-0.03500434549,-0.04950362014
0.066,0.05026521429,0.03554287388,3.07785669e-18,-0.03554287388,-0.05026521429,0.08580808818,0.07108574777,0.03554287388,5.580559825e-18,-0.01472234041,0.1005304286,0.08580808818,0.05026521429,0.01472234041,0,0.08580808818,0.07108574777,0.03554287388,5.580559825e-18,-0.01472234041,0.05026521429,0.03554287388,9.233570069e-18,-0.03554287388,-0.05026521429
0.067,0.05102680845,0.03608140228,3.124490882e-18,-0.03608140228,-0.05102680845,0.08710821073,0.07216280455,0.03608140228,5.665113761e-18,-0.01494540617,0.1020536169,0.08710821073,0.05102680845,0.01494540617,0,0.08710821073,0.07216280455,0.03608140228,5.665113761e-18,-0.01494540617,0.05102680845,0.03608140228,9.373472646e-18,-0.03608140228,-0.05102680845
0.068,0.0517884026,0.03661993067,3.171125074e-18,-0.03661993067,-0.0517884026,0.08840833327,0.07323986134,0.03661993067,5.749667698e-18,-0.01516847194,0.1035768052,0.08840833327,0.0517884026,0.01516847194,0,0.08840833327,0.07323986134,0.03661993067,5.749667698e-18,-0.01516847194,0.0517884026,0.03661993067,9.513375222e-18,-0.03661993067,-0.0517884026
