nu,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19,u_20,u_21,u_22,u_23,u_24
1.149,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438574766,0.6553287057,-0.06371804804,-0.2230657638,1.523188312,1.714019309,0.9284795078,0.2358224623,0,1.300122548,1.443277986,0.6632597999,-0.05193175996,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.151,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438602657,0.6553514215,-0.06370749919,-0.2230657638,1.523188312,1.714055419,0.9285110912,0.235835344,0,1.300122548,1.443301323,0.6632730767,-0.05193839178,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.153,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438630466,0.655374067,-0.06369698548,-0.2230657638,1.523188312,1.714091417,0.92854257,0.2358481779,0,1.300122548,1.443324584,0.6632863027,-0.05194500976,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.155,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438658194,0.6553966425,-0.06368650675,-0.2230657638,1.523188312,1.714127304,0.9285739449,0.2358609644,0,1.300122548,1.443347768,0.6632994785,-0.05195161394,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.157,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438685839,0.6554191483,-0.06367606282,-0.2230657638,1.523188312,1.71416308,0.9286052162,0.2358737036,0,1.300122548,1.443370876,0.6633126041,-0.05195820435,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.159,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438713404,0.6554415847,-0.06366565352,-0.2230657638,1.523188312,1.714198746,0.9286363845,0.2358863957,0,1.300122548,1.443393909,0.6633256798,-0.05196478102,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.161,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438740888,0.655463952,-0.06365527869,-0.2230657638,1.523188312,1.714234302,0.9286674503,0.2358990411,0,1.300122548,1.443416866,0.663338706,-0.05197134399,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.163,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438768291,0.6554862506,-0.06364493816,-0.2230657638,1.523188312,1.71426975,0.9286984141,0.23591164,0,1.300122548,1.443439749,0.663351683,-0.05197789328,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.165,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438795614,0.6555084808,-0.06363463176,-0.2230657638,1.523188312,1.714305088,0.9287292764,0.2359241927,0,1.300122548,1.443462557,0.6633646109,-0.05198442893,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.167,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438822857,0.6555306429,-0.06362435932,-0.2230657638,1.523188312,1.714340319,0.9287600377,0.2359366993,0,1.300122548,1.443485291,0.66337749,-0.05199095097,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.169,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438850021,0.6555527371,-0.06361412068,-0.2230657638,1.523188312,1.714375441,0.9287906985,0.2359491602,0,1.300122548,1.443507951,0.6633903207,-0.05199745943,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.171,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438877105,0.6555747638,-0.06360391568,-0.2230657638,1.523188312,1.714410457,0.9288212593,0.2359615755,0,1.300122548,1.443530538,0.6634031031,-0.05200395434,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.173,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438904111,0.6555967234,-0.06359374415,-0.2230657638,1.523188312,1.714445366,0.9288517204,0.2359739456,0,1.300122548,1.443553052,0.6634158376,-0.05201043574,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.175,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438931039,0.655618616,-0.06358360594,-0.2230657638,1.523188312,1.714480169,0.9288820825,0.2359862706,0,1.300122548,1.443575494,0.6634285243,-0.05201690365,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.177,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.438957888,0.655640442,-0.06357350088,-0.2230657638,1.523188312,1.714514866,0.928912346,0.2359985508,0,1.300122548,1.443597863,0.6634411636,-0.05202335811,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.179,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.43898466,0.6556622018,-0.06356342881,-0.2230657638,1.523188312,1.714549457,0.9289425114,0.2360107864,0,1.300122548,1.44362016,0.6634537557,-0.05202979915,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.181,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439011354,0.6556838955,-0.06355338957,-0.2230657638,1.523188312,1.714583944,0.9289725791,0.2360229777,0,1.300122548,1.443642385,0.6634663009,-0.05203622681,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.183,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439037971,0.6557055236,-0.06354338302,-0.2230657638,1.523188312,1.714618327,0.9290025497,0.2360351249,0,1.300122548,1.443664539,0.6634787994,-0.0520426411,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.185,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439064511,0.6557270862,-0.06353340898,-0.2230657638,1.523188312,1.714652606,0.9290324235,0.2360472282,0,1.300122548,1.443686622,0.6634912514,-0.05204904207,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.187,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439090975,0.6557485837,-0.0635234673,-0.2230657638,1.523188312,1.714686781,0.929062201,0.2360592879,0,1.300122548,1.443708635,0.6635036573,-0.05205542974,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.189,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439117363,0.6557700164,-0.06351355784,-0.2230657638,1.523188312,1.714720853,0.9290918827,0.2360713041,0,1.300122548,1.443730577,0.6635160172,-0.05206180416,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
